"Date","Price","Open","High","Low","Vol.","Change %"
"16-08-2024","23,056.50","22,846.10","23,071.75","22,750.30","2.05B","1.69%"
"14-08-2024","22,672.65","22,765.65","22,778.95","22,599.95","2.36B","-0.15%"
"13-08-2024","22,705.80","22,952.70","22,962.75","22,684.45","2.76B","-0.92%"
"12-08-2024","22,915.85","22,862.90","22,993.25","22,753.75","2.53B","-0.03%"
"09-08-2024","22,923.50","22,948.15","22,982.45","22,869.40","2.11B","0.96%"
"08-08-2024","22,705.70","22,842.00","22,905.60","22,676.00","2.44B","-0.63%"
"07-08-2024","22,848.90","22,773.45","22,870.85","22,650.80","2.46B","1.81%"
"06-08-2024","22,443.30","22,696.95","22,910.75","22,406.05","2.70B","-0.44%"
"05-08-2024","22,542.45","22,772.55","22,868.35","22,397.70","4.02B","-3.08%"
"02-08-2024","23,259.45","23,296.10","23,395.10","23,225.65","3.09B","-1.05%"
"01-08-2024","23,506.60","23,608.85","23,637.75","23,429.55","2.92B","-0.10%"
"31-07-2024","23,530.80","23,495.85","23,556.00","23,459.60","3.21B","0.38%"
"30-07-2024","23,440.90","23,421.20","23,530.00","23,381.35","3.00B","0.20%"
"29-07-2024","23,394.20","23,423.15","23,496.40","23,326.05","3.61B","0.44%"
"26-07-2024","23,292.05","22,970.40","23,306.75","22,965.50","3.45B","1.64%"
"25-07-2024","22,917.25","22,753.20","22,938.65","22,732.20","3.44B","-0.02%"
"24-07-2024","22,921.45","22,856.85","22,965.45","22,816.75","3.15B","0.25%"
"23-07-2024","22,865.20","23,022.80","23,031.95","22,307.20","4.56B","-0.34%"
"22-07-2024","22,942.65","22,761.50","23,001.05","22,667.75","2.96B","0.39%"
"19-07-2024","22,853.60","23,232.50","23,232.50","22,833.00","3.02B","-1.54%"
"18-07-2024","23,210.05","23,167.65","23,233.85","22,993.55","3.56B","0.02%"
"16-07-2024","23,204.25","23,258.20","23,288.05","23,181.35","3.43B","-0.02%"
"15-07-2024","23,209.85","23,188.80","23,234.30","23,081.30","3.43B","0.50%"
"12-07-2024","23,095.45","23,086.25","23,189.40","23,021.40","3.54B","0.39%"
"11-07-2024","23,005.25","23,059.95","23,063.10","22,904.30","3.38B","0.12%"
"10-07-2024","22,977.65","23,124.15","23,125.30","22,685.65","3.30B","-0.39%"
"09-07-2024","23,067.35","23,035.05","23,082.35","22,974.95","3.26B","0.42%"
"08-07-2024","22,971.15","23,029.35","23,040.75","22,897.95","3.70B","-0.07%"
"05-07-2024","22,987.65","22,878.50","23,011.80","22,838.20","4.13B","0.32%"
"04-07-2024","22,914.20","22,937.60","22,962.80","22,866.70","3.07B","0.28%"
"03-07-2024","22,851.20","22,820.55","22,871.65","22,764.10","3.15B","0.76%"
"02-07-2024","22,677.80","22,806.30","22,810.65","22,592.20","2.90B","-0.22%"
"01-07-2024","22,727.60","22,580.40","22,739.70","22,570.40","2.75B","0.74%"
"28-06-2024","22,559.70","22,592.25","22,673.65","22,537.70","4.30B","0.10%"
"27-06-2024","22,537.40","22,459.90","22,571.65","22,395.90","4.30B","0.45%"
"26-06-2024","22,436.80","22,379.50","22,464.85","22,309.50","3.83B","0.30%"
"25-06-2024","22,370.65","22,349.75","22,391.75","22,287.10","2.65B","0.37%"
"24-06-2024","22,289.10","22,150.65","22,309.10","22,073.65","3.22B","0.24%"
"21-06-2024","22,236.20","22,392.60","22,393.30","22,186.20","4.82B","-0.31%"
"20-06-2024","22,305.10","22,293.55","22,333.60","22,182.20","3.47B","0.36%"
"19-06-2024","22,224.90","22,406.30","22,406.30","22,127.25","5.22B","-0.47%"
"18-06-2024","22,329.60","22,323.55","22,338.15","22,253.35","3.24B","0.52%"
"14-06-2024","22,214.30","22,148.25","22,229.40","22,054.15","3.42B","0.63%"
"13-06-2024","22,074.30","22,120.75","22,120.80","21,992.15","3.12B","0.52%"
"12-06-2024","21,960.95","21,935.20","22,023.90","21,904.70","3.55B","0.50%"
"11-06-2024","21,852.00","21,856.35","21,961.45","21,782.35","4.47B","0.20%"
"10-06-2024","21,808.25","21,844.30","21,930.50","21,758.30","3.71B","0.20%"
"07-06-2024","21,764.15","21,390.20","21,781.35","21,333.50","3.73B","1.87%"
"06-06-2024","21,365.00","21,253.70","21,462.80","21,193.20","3.84B","1.48%"
"05-06-2024","21,054.40","20,570.75","21,092.15","20,116.60","5.52B","3.59%"
"04-06-2024","20,323.85","21,753.35","21,753.35","19,624.25","9.29B","-6.76%"
"03-06-2024","21,797.40","21,926.60","21,926.60","21,629.30","5.21B","3.29%"
"31-05-2024","21,103.30","21,129.35","21,177.25","21,003.00","6.42B","0.31%"
"30-05-2024","21,038.55","21,201.80","21,262.85","20,983.95","3.53B","-1.02%"
"29-05-2024","21,256.30","21,288.35","21,356.15","21,243.20","2.53B","-0.61%"
"28-05-2024","21,387.35","21,542.50","21,558.15","21,345.35","2.85B","-0.49%"
"27-05-2024","21,493.00","21,573.80","21,613.60","21,439.15","3.60B","0.04%"
"24-05-2024","21,483.75","21,483.00","21,567.45","21,444.95","5.24B","-0.03%"
